time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)	V(s0)	V(s1)
1.800000009719900e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	1.018852e+000	4.859950e+000	0.000000e+000
1.800000010000000e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	1.324438e+000	5.000000e+000	0.000000e+000
1.800000010035413e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	1.381215e+000	5.000000e+000	0.000000e+000
1.800000010106239e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	1.502158e+000	5.000000e+000	0.000000e+000
1.800000010247891e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	1.777171e+000	5.000000e+000	0.000000e+000
1.800000010531195e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	2.410665e+000	5.000000e+000	0.000000e+000
1.800000010833326e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	3.147346e+000	5.000000e+000	0.000000e+000
1.800000011036420e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	3.623428e+000	5.000000e+000	0.000000e+000
1.800000011228452e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	3.982253e+000	5.000000e+000	0.000000e+000
1.800000011470397e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	4.291758e+000	5.000000e+000	0.000000e+000
1.800000011720979e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	4.495085e+000	5.000000e+000	0.000000e+000
